,National №,Type,Species,Height in m,Height in pouce,Weight in kg,Weight in lbs,Abilities,Local №,EV yield,Catch rate,Catch rate details,Base Friendship,Base Friendship text,Base Exp.,Growth Rate,Egg Groups,Gender % male,Gender % female,Egg cycles,Egg cycles details,HP,HP Min,HP Max,Attack,Attack Min,Attack Max,Defense,Defense Min,Defense Max,Sp. Atk,Sp. Atk Min,Sp. Atk Max,Sp. Def,Sp. Def Min,Sp. Def Max,Speed,Speed Min,Speed Max,Name,img_url,Generation
755,756,Grass Fairy,Illuminating,1.0,3.03,11.5,25.4,1. Illuminate2. Effect SporeRain Dish (hidden ability),146 (Sun/Moon — Alola dex)179 (U.Sun/U.Moon — Alola dex)341 (Sword/Shield),2 Special Defense,75,"9.8% with PokéBall, full HP",50,normal,142,Medium Fast,Grass,50,50,20,"4,884–5,140 steps",60,230,324,45,85,207,80,148,284,90,166,306,100,184,328,30,58,174,Shiinotic,https://img.pokemondb.net/artwork/shiinotic.jpg,
756,757,Poison Fire,Toxic Lizard,0.6,2.00,4.8,10.6,1. CorrosionOblivious (hidden ability),161 (Sun/Moon — Alola dex)195 (U.Sun/U.Moon — Alola dex)244 (Sword/Shield)159 (The Isle of Armor),1 Speed,120,"15.7% with PokéBall, full HP",50,normal,64,Medium Fast,"Dragon, Monster",87.5,12.5,20,"4,884–5,140 steps",48,206,300,44,83,205,40,76,196,71,132,265,40,76,196,77,143,278,Salandit,https://img.pokemondb.net/artwork/salandit.jpg,
757,758,Poison Fire,Toxic Lizard,1.2,3.11,22.2,48.9,1. CorrosionOblivious (hidden ability),162 (Sun/Moon — Alola dex)196 (U.Sun/U.Moon — Alola dex)245 (Sword/Shield)160 (The Isle of Armor),2 Speed,45,"5.9% with PokéBall, full HP",50,normal,168,Medium Fast,"Dragon, Monster",0,100,20,"4,884–5,140 steps",68,246,340,64,119,249,60,112,240,111,204,353,60,112,240,117,215,366,Salazzle,https://img.pokemondb.net/artwork/salazzle.jpg,
758,759,Normal Fighting,Flailing,0.5,1.08,6.8,15.0,1. Fluffy2. KlutzCute Charm (hidden ability),169 (Sun/Moon — Alola dex)205 (U.Sun/U.Moon — Alola dex)094 (Sword/Shield),1 Attack,140,"18.3% with PokéBall, full HP",50,normal,68,Medium Fast,Field,50,50,15,"3,599–3,855 steps",70,250,344,75,139,273,50,94,218,45,85,207,50,94,218,50,94,218,Stufful,https://img.pokemondb.net/artwork/stufful.jpg,
759,760,Normal Fighting,Strong Arm,2.1,6.11,135.0,297.6,1. Fluffy2. KlutzUnnerve (hidden ability),170 (Sun/Moon — Alola dex)206 (U.Sun/U.Moon — Alola dex)095 (Sword/Shield),2 Attack,70,"9.1% with PokéBall, full HP",50,normal,175,Medium Fast,Field,50,50,15,"3,599–3,855 steps",120,350,444,125,229,383,80,148,284,55,103,229,60,112,240,60,112,240,Bewear,https://img.pokemondb.net/artwork/bewear.jpg,
760,761,Grass,Fruit,0.3,1.00,3.2,7.1,1. Leaf Guard2. ObliviousSweet Veil (hidden ability),171 (Sun/Moon — Alola dex)207 (U.Sun/U.Moon — Alola dex)052 (Sword/Shield),1 HP,235,"30.7% with PokéBall, full HP",50,normal,42,Medium Slow,Grass,0,100,20,"4,884–5,140 steps",42,194,288,30,58,174,38,72,192,30,58,174,38,72,192,32,62,179,Bounsweet,https://img.pokemondb.net/artwork/bounsweet.jpg,
761,762,Grass,Fruit,0.7,2.04,8.2,18.1,1. Leaf Guard2. ObliviousSweet Veil (hidden ability),172 (Sun/Moon — Alola dex)208 (U.Sun/U.Moon — Alola dex)053 (Sword/Shield),2 Speed,120,"15.7% with PokéBall, full HP",50,normal,102,Medium Slow,Grass,0,100,20,"4,884–5,140 steps",52,214,308,40,76,196,48,90,214,40,76,196,48,90,214,62,116,245,Steenee,https://img.pokemondb.net/artwork/steenee.jpg,
762,763,Grass,Fruit,1.2,3.11,21.4,47.2,1. Leaf Guard2. Queenly MajestySweet Veil (hidden ability),173 (Sun/Moon — Alola dex)209 (U.Sun/U.Moon — Alola dex)054 (Sword/Shield),3 Attack,45,"5.9% with PokéBall, full HP",50,normal,230,Medium Slow,Grass,0,100,20,"4,884–5,140 steps",72,254,348,120,220,372,98,180,324,50,94,218,98,180,324,72,134,267,Tsareena,https://img.pokemondb.net/artwork/tsareena.jpg,
763,764,Fairy,Posy Picker,0.1,0.04,0.3,0.7,1. Flower Veil2. TriageNatural Cure (hidden ability),174 (Sun/Moon — Alola dex)210 (U.Sun/U.Moon — Alola dex)079 (The Isle of Armor),2 Special Defense,60,"7.8% with PokéBall, full HP",50,normal,170,Fast,Grass,25,75,20,"4,884–5,140 steps",51,212,306,52,98,223,90,166,306,82,152,289,110,202,350,100,184,328,Comfey,https://img.pokemondb.net/artwork/comfey.jpg,
764,765,Normal Psychic,Sage,1.5,4.11,76.0,167.6,1. Inner Focus2. TelepathySymbiosis (hidden ability),176 (Sun/Moon — Alola dex)215 (U.Sun/U.Moon — Alola dex)342 (Sword/Shield)089 (The Isle of Armor),2 Special Defense,45,"5.9% with PokéBall, full HP",50,normal,172,Slow,Field,50,50,20,"4,884–5,140 steps",90,290,384,60,112,240,80,148,284,90,166,306,110,202,350,60,112,240,Oranguru,https://img.pokemondb.net/artwork/oranguru.jpg,
765,766,Fighting,Teamwork,2.0,6.07,82.8,182.5,1. ReceiverDefiant (hidden ability),177 (Sun/Moon — Alola dex)216 (U.Sun/U.Moon — Alola dex)343 (Sword/Shield)090 (The Isle of Armor),2 Attack,45,"5.9% with PokéBall, full HP",50,normal,172,Slow,Field,50,50,20,"4,884–5,140 steps",100,310,404,120,220,372,90,166,306,40,76,196,60,112,240,80,148,284,Passimian,https://img.pokemondb.net/artwork/passimian.jpg,
766,767,Bug Water,Turn Tail,0.5,1.08,12.0,26.5,1. Wimp Out,182 (Sun/Moon — Alola dex)221 (U.Sun/U.Moon — Alola dex)232 (Sword/Shield)124 (The Isle of Armor),1 Speed,90,"11.8% with PokéBall, full HP",50,normal,46,Medium Fast,"Bug, Water 3",50,50,20,"4,884–5,140 steps",25,160,254,35,67,185,40,76,196,20,40,152,30,58,174,80,148,284,Wimpod,https://img.pokemondb.net/artwork/wimpod.jpg,
767,768,Bug Water,Hard Scale,2.0,6.07,108.0,238.1,1. Emergency Exit,183 (Sun/Moon — Alola dex)222 (U.Sun/U.Moon — Alola dex)233 (Sword/Shield)125 (The Isle of Armor),2 Defense,45,"5.9% with PokéBall, full HP",50,normal,186,Medium Fast,"Bug, Water 3",50,50,20,"4,884–5,140 steps",75,260,354,125,229,383,140,256,416,60,112,240,90,166,306,40,76,196,Golisopod,https://img.pokemondb.net/artwork/golisopod.jpg,
768,769,Ghost Ground,Sand Heap,0.5,1.08,70.0,154.3,1. Water CompactionSand Veil (hidden ability),186 (Sun/Moon — Alola dex)225 (U.Sun/U.Moon — Alola dex)133 (The Isle of Armor),1 Defense,140,"18.3% with PokéBall, full HP",50,normal,64,Medium Fast,Amorphous,50,50,15,"3,599–3,855 steps",55,220,314,55,103,229,80,148,284,70,130,262,45,85,207,15,31,141,Sandygast,https://img.pokemondb.net/artwork/sandygast.jpg,
769,770,Ghost Ground,Sand Castle,1.3,4.03,250.0,551.2,1. Water CompactionSand Veil (hidden ability),187 (Sun/Moon — Alola dex)226 (U.Sun/U.Moon — Alola dex)134 (The Isle of Armor),2 Defense,60,"7.8% with PokéBall, full HP",50,normal,168,Medium Fast,Amorphous,50,50,15,"3,599–3,855 steps",85,280,374,75,139,273,110,202,350,100,184,328,75,139,273,35,67,185,Palossand,https://img.pokemondb.net/artwork/palossand.jpg,
770,771,Water,Sea Cucumber,0.3,1.00,1.2,2.6,1. Innards OutUnaware (hidden ability),200 (Sun/Moon — Alola dex)256 (U.Sun/U.Moon — Alola dex)156 (Sword/Shield),2 Special Defense,60,"7.8% with PokéBall, full HP",50,normal,144,Fast,Water 1,50,50,15,"3,599–3,855 steps",55,220,314,60,112,240,130,238,394,30,58,174,130,238,394,5,13,119,Pyukumuku,https://img.pokemondb.net/artwork/pyukumuku.jpg,
771,772,Normal,Synthetic,1.9,6.03,120.5,265.7,1. Battle Armor,203 (Sun/Moon — Alola dex)259 (U.Sun/U.Moon — Alola dex)381 (Sword/Shield),2 HP,3,"0.4% with PokéBall, full HP",0,lower than normal,107,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",95,300,394,95,175,317,95,175,317,95,175,317,95,175,317,59,110,238,Type: Null,https://img.pokemondb.net/artwork/type-null.jpg,
772,773,Normal,Synthetic,2.3,7.07,100.5,221.6,1. RKS System,204 (Sun/Moon — Alola dex)260 (U.Sun/U.Moon — Alola dex)382 (Sword/Shield),3 HP,3,"0.4% with PokéBall, full HP",0,lower than normal,257,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",95,300,394,95,175,317,95,175,317,95,175,317,95,175,317,95,175,317,Silvally,https://img.pokemondb.net/artwork/silvally.jpg,
773,774,Rock Flying,Meteor,0.3,1.00,40.0,88.2,1. Shields Down,213 (Sun/Moon — Alola dex)277 (U.Sun/U.Moon — Alola dex),"1 Defense, 1 Special Defense",30,"3.9% with PokéBall, full HP",50,normal,154,Medium Slow,Mineral,Genderless,,25,"6,169–6,425 steps",60,230,324,60,112,240,100,184,328,60,112,240,100,184,328,60,112,240,Minior,https://img.pokemondb.net/artwork/minior-meteor.jpg,
774,775,Normal,Drowsing,0.4,1.04,19.9,43.9,1. Comatose,222 (Sun/Moon — Alola dex)286 (U.Sun/U.Moon — Alola dex),2 Attack,45,"5.9% with PokéBall, full HP",50,normal,168,Slow,Field,50,50,20,"4,884–5,140 steps",65,240,334,115,211,361,65,121,251,75,139,273,95,175,317,65,121,251,Komala,https://img.pokemondb.net/artwork/komala.jpg,
775,776,Fire Dragon,Blast Turtle,2.0,6.07,212.0,467.4,1. Shell Armor,224 (Sun/Moon — Alola dex)288 (U.Sun/U.Moon — Alola dex)347 (Sword/Shield),2 Defense,70,"9.1% with PokéBall, full HP",50,normal,170,Medium Fast,"Dragon, Monster",50,50,20,"4,884–5,140 steps",60,230,324,78,144,280,135,247,405,91,168,309,85,157,295,36,69,188,Turtonator,https://img.pokemondb.net/artwork/turtonator.jpg,
776,777,Electric Steel,Roly-Poly,0.3,1.00,3.3,7.3,1. Iron Barbs2. Lightning RodSturdy (hidden ability),225 (Sun/Moon — Alola dex)292 (U.Sun/U.Moon — Alola dex)348 (Sword/Shield),2 Attack,180,"23.5% with PokéBall, full HP",50,normal,152,Medium Fast,"Fairy, Field",50,50,10,"2,314–2,570 steps",65,240,334,98,180,324,63,117,247,40,76,196,73,135,269,96,177,320,Togedemaru,https://img.pokemondb.net/artwork/togedemaru.jpg,
777,778,Ghost Fairy,Disguise,0.2,0.08,0.7,1.5,1. Disguise,242 (Sun/Moon — Alola dex)315 (U.Sun/U.Moon — Alola dex)301 (Sword/Shield)046 (The Crown Tundra),2 Special Defense,45,"5.9% with PokéBall, full HP",50,normal,167,Medium Fast,Amorphous,50,50,20,"4,884–5,140 steps",55,220,314,90,166,306,80,148,284,50,94,218,105,193,339,96,177,320,Mimikyu,https://img.pokemondb.net/artwork/mimikyu.jpg,
778,779,Water Psychic,Gnash Teeth,0.9,2.11,19.0,41.9,1. Dazzling2. Strong JawWonder Skin (hidden ability),243 (Sun/Moon — Alola dex)320 (U.Sun/U.Moon — Alola dex),2 Attack,80,"10.5% with PokéBall, full HP",50,normal,166,Medium Fast,Water 2,50,50,15,"3,599–3,855 steps",68,246,340,105,193,339,70,130,262,70,130,262,70,130,262,92,170,311,Bruxish,https://img.pokemondb.net/artwork/bruxish.jpg,
779,780,Normal Dragon,Placid,3.0,9.10,185.0,407.9,1. Berserk2. Sap SipperCloud Nine (hidden ability),244 (Sun/Moon — Alola dex)321 (U.Sun/U.Moon — Alola dex)346 (Sword/Shield),2 Special Attack,70,"9.1% with PokéBall, full HP",50,normal,170,Medium Fast,"Dragon, Monster",50,50,20,"4,884–5,140 steps",78,266,360,60,112,240,85,157,295,135,247,405,91,168,309,36,69,188,Drampa,https://img.pokemondb.net/artwork/drampa.jpg,
780,781,Ghost Grass,Sea Creeper,3.9,12.10,210.0,463.0,1. Steelworker,263 (Sun/Moon — Alola dex)344 (U.Sun/U.Moon — Alola dex)360 (Sword/Shield)162 (The Crown Tundra),2 Attack,25,"3.3% with PokéBall, full HP",50,normal,181,Medium Fast,Mineral,Genderless,,25,"6,169–6,425 steps",70,250,344,131,240,397,100,184,328,86,159,298,90,166,306,40,76,196,Dhelmise,https://img.pokemondb.net/artwork/dhelmise.jpg,
781,782,Dragon,Scaly,0.6,2.00,29.7,65.5,1. Bulletproof2. SoundproofOvercoat (hidden ability),271 (Sun/Moon — Alola dex)361 (U.Sun/U.Moon — Alola dex)392 (Sword/Shield)165 (The Isle of Armor),1 Defense,45,"5.9% with PokéBall, full HP",50,normal,60,Slow,Dragon,50,50,40,"10,024–10,280 steps",45,200,294,55,103,229,65,121,251,45,85,207,45,85,207,45,85,207,Jangmo-o,https://img.pokemondb.net/artwork/jangmo-o.jpg,
782,783,Dragon Fighting,Scaly,1.2,3.11,47.0,103.6,1. Bulletproof2. SoundproofOvercoat (hidden ability),272 (Sun/Moon — Alola dex)362 (U.Sun/U.Moon — Alola dex)393 (Sword/Shield)166 (The Isle of Armor),2 Defense,45,"5.9% with PokéBall, full HP",50,normal,147,Slow,Dragon,50,50,40,"10,024–10,280 steps",55,220,314,75,139,273,90,166,306,65,121,251,70,130,262,65,121,251,Hakamo-o,https://img.pokemondb.net/artwork/hakamo-o.jpg,
783,784,Dragon Fighting,Scaly,1.6,5.03,78.2,172.4,1. Bulletproof2. SoundproofOvercoat (hidden ability),273 (Sun/Moon — Alola dex)363 (U.Sun/U.Moon — Alola dex)394 (Sword/Shield)167 (The Isle of Armor),3 Defense,45,"5.9% with PokéBall, full HP",50,normal,270,Slow,Dragon,50,50,40,"10,024–10,280 steps",75,260,354,110,202,350,125,229,383,100,184,328,105,193,339,85,157,295,Kommo-o,https://img.pokemondb.net/artwork/kommo-o.jpg,
784,785,Electric Fairy,Land Spirit,1.8,5.11,20.5,45.2,1. Electric SurgeTelepathy (hidden ability),285 (Sun/Moon — Alola dex)383 (U.Sun/U.Moon — Alola dex),3 Speed,3,"0.4% with PokéBall, full HP",50,normal,257,Slow,Undiscovered,Genderless,,15,"3,599–3,855 steps",70,250,344,115,211,361,85,157,295,95,175,317,75,139,273,130,238,394,Tapu Koko,https://img.pokemondb.net/artwork/tapu-koko.jpg,
785,786,Psychic Fairy,Land Spirit,1.2,3.11,18.6,41.0,1. Psychic SurgeTelepathy (hidden ability),286 (Sun/Moon — Alola dex)384 (U.Sun/U.Moon — Alola dex),3 Special Attack,3,"0.4% with PokéBall, full HP",50,normal,257,Slow,Undiscovered,Genderless,,15,"3,599–3,855 steps",70,250,344,85,157,295,75,139,273,130,238,394,115,211,361,95,175,317,Tapu Lele,https://img.pokemondb.net/artwork/tapu-lele.jpg,
786,787,Grass Fairy,Land Spirit,1.9,6.03,45.5,100.3,1. Grassy SurgeTelepathy (hidden ability),287 (Sun/Moon — Alola dex)385 (U.Sun/U.Moon — Alola dex),3 Attack,3,"0.4% with PokéBall, full HP",50,normal,257,Slow,Undiscovered,Genderless,,15,"3,599–3,855 steps",70,250,344,130,238,394,115,211,361,85,157,295,95,175,317,75,139,273,Tapu Bulu,https://img.pokemondb.net/artwork/tapu-bulu.jpg,
787,788,Water Fairy,Land Spirit,1.3,4.03,21.2,46.7,1. Misty SurgeTelepathy (hidden ability),288 (Sun/Moon — Alola dex)386 (U.Sun/U.Moon — Alola dex),3 Special Defense,3,"0.4% with PokéBall, full HP",50,normal,257,Slow,Undiscovered,Genderless,,15,"3,599–3,855 steps",70,250,344,75,139,273,115,211,361,95,175,317,130,238,394,85,157,295,Tapu Fini,https://img.pokemondb.net/artwork/tapu-fini.jpg,
788,789,Psychic,Nebula,0.2,0.08,0.1,0.2,1. Unaware,289 (Sun/Moon — Alola dex)387 (U.Sun/U.Moon — Alola dex),1 HP,45,"5.9% with PokéBall, full HP",0,lower than normal,40,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",43,196,290,29,56,172,31,60,177,29,56,172,31,60,177,37,71,190,Cosmog,https://img.pokemondb.net/artwork/cosmog.jpg,
789,790,Psychic,Protostar,0.1,0.04,999.9,2204.4,1. Sturdy,290 (Sun/Moon — Alola dex)388 (U.Sun/U.Moon — Alola dex),"1 Defense, 1 Special Defense",45,"5.9% with PokéBall, full HP",0,lower than normal,140,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",43,196,290,29,56,172,131,240,397,29,56,172,131,240,397,37,71,190,Cosmoem,https://img.pokemondb.net/artwork/cosmoem.jpg,
790,791,Psychic Steel,Sunne,3.4,11.02,230.0,507.1,1. Full Metal Body,291 (Sun/Moon — Alola dex)389 (U.Sun/U.Moon — Alola dex),3 Attack,45,"5.9% with PokéBall, full HP",0,lower than normal,306,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",137,384,478,137,251,410,107,197,344,113,207,357,89,164,304,97,179,322,Solgaleo,https://img.pokemondb.net/artwork/solgaleo.jpg,
791,792,Psychic Ghost,Moone,4.0,13.01,120.0,264.6,1. Shadow Shield,292 (Sun/Moon — Alola dex)390 (U.Sun/U.Moon — Alola dex),3 Special Attack,45,"5.9% with PokéBall, full HP",0,lower than normal,306,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",137,384,478,113,207,357,89,164,304,137,251,410,107,197,344,97,179,322,Lunala,https://img.pokemondb.net/artwork/lunala.jpg,
792,793,Rock Poison,Parasite,1.2,3.11,55.5,122.4,1. Beast Boost,293 (Sun/Moon — Alola dex)393 (U.Sun/U.Moon — Alola dex),3 Special Defense,45,"5.9% with PokéBall, full HP",0,lower than normal,257,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",109,328,422,53,99,225,47,89,212,127,233,388,131,240,397,103,189,335,Nihilego,https://img.pokemondb.net/artwork/nihilego.jpg,
793,794,Bug Fighting,Swollen,2.4,7.10,333.6,735.5,1. Beast Boost,294 (Sun/Moon — Alola dex)394 (U.Sun/U.Moon — Alola dex),"1 Attack, 2 Defense",45,"5.9% with PokéBall, full HP",0,lower than normal,257,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",107,324,418,139,254,414,139,254,414,53,99,225,53,99,225,79,146,282,Buzzwole,https://img.pokemondb.net/artwork/buzzwole.jpg,
794,795,Bug Fighting,Lissome,1.8,5.11,25.0,55.1,1. Beast Boost,295 (Sun/Moon — Alola dex)395 (U.Sun/U.Moon — Alola dex),3 Speed,45,"5.9% with PokéBall, full HP",0,lower than normal,257,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",71,252,346,137,251,410,37,71,190,137,251,410,37,71,190,151,276,441,Pheromosa,https://img.pokemondb.net/artwork/pheromosa.jpg,
795,796,Electric,Glowing,3.8,12.06,100.0,220.5,1. Beast Boost,296 (Sun/Moon — Alola dex)396 (U.Sun/U.Moon — Alola dex),3 Special Attack,45,"5.9% with PokéBall, full HP",0,lower than normal,257,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",83,276,370,89,164,304,71,132,265,173,315,489,71,132,265,83,153,291,Xurkitree,https://img.pokemondb.net/artwork/xurkitree.jpg,
796,797,Steel Flying,Launch,9.2,30.02,999.9,2204.4,1. Beast Boost,297 (Sun/Moon — Alola dex)397 (U.Sun/U.Moon — Alola dex),"1 Attack, 1 Defense, 1 Special Attack",45,"5.9% with PokéBall, full HP",0,lower than normal,257,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",97,304,398,101,186,331,103,189,335,107,197,344,101,186,331,61,114,243,Celesteela,https://img.pokemondb.net/artwork/celesteela.jpg,
797,798,Grass Steel,Drawn Sword,0.3,1.00,0.1,0.2,1. Beast Boost,298 (Sun/Moon — Alola dex)398 (U.Sun/U.Moon — Alola dex),3 Attack,45,"5.9% with PokéBall, full HP",0,lower than normal,257,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",59,228,322,181,330,507,131,240,397,59,110,238,31,60,177,109,200,348,Kartana,https://img.pokemondb.net/artwork/kartana.jpg,
798,799,Dark Dragon,Junkivore,5.5,18.01,888.0,1957.7,1. Beast Boost,299 (Sun/Moon — Alola dex)399 (U.Sun/U.Moon — Alola dex),3 HP,45,"5.9% with PokéBall, full HP",0,lower than normal,257,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",223,556,650,101,186,331,53,99,225,97,179,322,53,99,225,43,81,203,Guzzlord,https://img.pokemondb.net/artwork/guzzlord.jpg,
799,800,Psychic,Prism,2.4,7.10,230.0,507.1,1. Prism Armor,300 (Sun/Moon — Alola dex)400 (U.Sun/U.Moon — Alola dex),"1 Attack, 2 Special Attack",255,"33.3% with PokéBall, full HP",0,lower than normal,270,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",97,304,398,107,197,344,101,186,331,127,233,388,89,164,304,79,146,282,Necrozma,https://img.pokemondb.net/artwork/necrozma.jpg,
800,801,Steel Fairy,Artificial,1.0,3.03,80.5,177.5,1. Soul-Heart,301 (Sun/Moon — Alola dex)401 (U.Sun/U.Moon — Alola dex),3 Special Attack,3,"0.4% with PokéBall, full HP",0,lower than normal,270,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",80,270,364,95,175,317,115,211,361,130,238,394,115,211,361,65,121,251,Magearna,https://img.pokemondb.net/artwork/magearna.jpg,
801,802,Fighting Ghost,Gloomdweller,0.7,2.04,22.2,48.9,1. Technician,302 (Sun/Moon — Alola dex)402 (U.Sun/U.Moon — Alola dex),"2 Attack, 1 Speed",3,"0.4% with PokéBall, full HP",0,lower than normal,270,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",90,290,384,125,229,383,80,148,284,90,166,306,90,166,306,125,229,383,Marshadow,https://img.pokemondb.net/artwork/marshadow.jpg,
802,803,Poison,Poison Pin,0.6,2.00,1.8,4.0,1. Beast Boost,261 (U.Sun/U.Moon — Alola dex),1 Speed,45,"5.9% with PokéBall, full HP",0,lower than normal,189,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",67,244,338,73,135,269,67,125,256,73,135,269,67,125,256,73,135,269,Poipole,https://img.pokemondb.net/artwork/poipole.jpg,
803,804,Poison Dragon,Poison Pin,3.6,11.10,150.0,330.7,1. Beast Boost,262 (U.Sun/U.Moon — Alola dex),3 Special Attack,45,"5.9% with PokéBall, full HP",0,lower than normal,243,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",73,256,350,73,135,269,73,135,269,127,233,388,73,135,269,121,222,375,Naganadel,https://img.pokemondb.net/artwork/naganadel.jpg,
804,805,Rock Steel,Rampart,5.5,18.01,820.0,1807.8,1. Beast Boost,391 (U.Sun/U.Moon — Alola dex),3 Defense,30,"3.9% with PokéBall, full HP",0,lower than normal,257,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",61,232,326,131,240,397,211,384,573,53,99,225,101,186,331,13,27,137,Stakataka,https://img.pokemondb.net/artwork/stakataka.jpg,
805,806,Fire Ghost,Fireworks,1.8,5.11,13.0,28.7,1. Beast Boost,392 (U.Sun/U.Moon — Alola dex),3 Special Attack,30,"3.9% with PokéBall, full HP",0,lower than normal,257,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",53,216,310,127,233,388,53,99,225,151,276,441,79,146,282,107,197,344,Blacephalon,https://img.pokemondb.net/artwork/blacephalon.jpg,
806,807,Electric,Thunderclap,1.5,4.11,44.5,98.1,1. Volt Absorb,403 (U.Sun/U.Moon — Alola dex),3 Speed,3,"0.4% with PokéBall, full HP",0,lower than normal,270,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",88,286,380,112,206,355,75,139,273,102,188,333,80,148,284,143,261,423,Zeraora,https://img.pokemondb.net/artwork/zeraora.jpg,
807,808,Steel,Hex Nut,0.2,0.08,8.0,17.6,1. Magnet Pull,152 (Let's Go Pikachu/Let's Go Eevee),1 Attack,3,"0.4% with PokéBall, full HP",0,lower than normal,150,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",46,202,296,65,121,251,65,121,251,55,103,229,35,67,185,34,65,183,Meltan,https://img.pokemondb.net/artwork/meltan.jpg,
808,809,Steel,Hex Nut,2.5,8.02,800.0,1763.7,1. Iron Fist,153 (Let's Go Pikachu/Let's Go Eevee),3 Attack,3,"0.4% with PokéBall, full HP",0,lower than normal,300,Slow,Undiscovered,Genderless,,120,"30,584–30,840 steps",135,380,474,143,261,423,143,261,423,80,148,284,65,121,251,34,65,183,Melmetal,https://img.pokemondb.net/artwork/melmetal.jpg,
809,810,Grass,Chimp,0.3,1.00,5.0,11.0,1. OvergrowGrassy Surge (hidden ability),001 (Sword/Shield),1 Attack,45,"5.9% with PokéBall, full HP",50,normal,62,Medium Slow,"Field, Grass",87.5,12.5,20,"4,884–5,140 steps",50,210,304,65,121,251,50,94,218,40,76,196,40,76,196,65,121,251,Grookey,https://img.pokemondb.net/artwork/grookey.jpg,
810,811,Grass,Beat,0.7,2.04,14.0,30.9,1. OvergrowGrassy Surge (hidden ability),002 (Sword/Shield),2 Attack,45,"5.9% with PokéBall, full HP",50,normal,147,Medium Slow,"Field, Grass",87.5,12.5,20,"4,884–5,140 steps",70,250,344,85,157,295,70,130,262,55,103,229,60,112,240,80,148,284,Thwackey,https://img.pokemondb.net/artwork/thwackey.jpg,
811,812,Grass,Drummer,2.1,6.11,90.0,198.4,1. OvergrowGrassy Surge (hidden ability),003 (Sword/Shield),3 Attack,45,"5.9% with PokéBall, full HP",50,normal,265,Medium Slow,"Field, Grass",87.5,12.5,20,"4,884–5,140 steps",100,310,404,125,229,383,90,166,306,60,112,240,70,130,262,85,157,295,Rillaboom,https://img.pokemondb.net/artwork/rillaboom.jpg,
812,813,Fire,Rabbit,0.3,1.00,4.5,9.9,1. BlazeLibero (hidden ability),004 (Sword/Shield),1 Speed,45,"5.9% with PokéBall, full HP",50,normal,62,Medium Slow,"Field, Human-Like",87.5,12.5,20,"4,884–5,140 steps",50,210,304,71,132,265,40,76,196,40,76,196,40,76,196,69,128,260,Scorbunny,https://img.pokemondb.net/artwork/scorbunny.jpg,
813,814,Fire,Rabbit,0.6,2.00,9.0,19.8,1. BlazeLibero (hidden ability),005 (Sword/Shield),2 Speed,45,"5.9% with PokéBall, full HP",50,normal,147,Medium Slow,"Field, Human-Like",87.5,12.5,20,"4,884–5,140 steps",65,240,334,86,159,298,60,112,240,55,103,229,60,112,240,94,173,315,Raboot,https://img.pokemondb.net/artwork/raboot.jpg,
814,815,Fire,Striker,1.4,4.07,33.0,72.8,1. BlazeLibero (hidden ability),006 (Sword/Shield),3 Speed,45,"5.9% with PokéBall, full HP",50,normal,265,Medium Slow,"Field, Human-Like",87.5,12.5,20,"4,884–5,140 steps",80,270,364,116,213,364,75,139,273,65,121,251,75,139,273,119,218,370,Cinderace,https://img.pokemondb.net/artwork/cinderace.jpg,
815,816,Water,Water Lizard,0.3,1.00,4.0,8.8,1. TorrentSniper (hidden ability),007 (Sword/Shield),"1 Special Defense, 1 Speed",45,"5.9% with PokéBall, full HP",50,normal,62,Medium Slow,"Field, Water 1",87.5,12.5,20,"4,884–5,140 steps",50,210,304,40,76,196,40,76,196,70,130,262,40,76,196,70,130,262,Sobble,https://img.pokemondb.net/artwork/sobble.jpg,
816,817,Water,Water lizard,0.7,2.04,11.5,25.4,1. TorrentSniper (hidden ability),008 (Sword/Shield),2 Special Attack,45,"5.9% with PokéBall, full HP",50,normal,147,Medium Slow,"Field, Water 1",87.5,12.5,20,"4,884–5,140 steps",65,240,334,60,112,240,55,103,229,95,175,317,55,103,229,90,166,306,Drizzile,https://img.pokemondb.net/artwork/drizzile.jpg,
